"","plant_id","generator_id","plant_name","ba_code","plant_state","reported_prime_mover","month","ActualGenerationMW","ces_unit_id","npcc_full_name","type","region","zone","fuel_state","installation_date","retirement_date","summer_capacity_mw","winter_capacity_mw","full_load_heat_rate_btu_kwh","s_ox_rate_lbs_mm_btu","n_ox_rate_lbs_mm_btu","min_downtime_hrs","min_uptime_hrs","for_percent","por_percent","quick_start_percent","spin_capability_percent","fuel_name","iso_q_id","SummerMonthlyCapacity","WinterMonthlyCapacity","capacity_factor_gap","max_capacity"
"21","10671","2","River Valley","SWPP","OK","ST","January",39506,4104,"AES Shady Point 2","STc200","South West","SPP","OK",1991-01-01,2027-12-01,160,160,10779,0,0.05,7,8,5,7.41,0,0.1,"AESSHAD_C",NA,119040,119040,0.331871639784946,119040
"22","10671","2","River Valley","SWPP","OK","ST","February",50850,4104,"AES Shady Point 2","STc200","South West","SPP","OK",1991-01-01,2027-12-01,160,160,10779,0,0.05,7,8,5,7.41,0,0.1,"AESSHAD_C",NA,119040,119040,0.427167338709677,119040
"23","10671","2","River Valley","SWPP","OK","ST","March",12981,4104,"AES Shady Point 2","STc200","South West","SPP","OK",1991-01-01,2027-12-01,160,160,10779,0,0.05,7,8,5,7.41,0,0.1,"AESSHAD_C",NA,119040,119040,0.109047379032258,119040
"24","10671","2","River Valley","SWPP","OK","ST","April",0,4104,"AES Shady Point 2","STc200","South West","SPP","OK",1991-01-01,2027-12-01,160,160,10779,0,0.05,7,8,5,7.41,0,0.1,"AESSHAD_C",NA,119040,119040,0,119040
"25","10671","2","River Valley","SWPP","OK","ST","May",0,4104,"AES Shady Point 2","STc200","South West","SPP","OK",1991-01-01,2027-12-01,160,160,10779,0,0.05,7,8,5,7.41,0,0.1,"AESSHAD_C",NA,119040,119040,0,119040
"26","10671","2","River Valley","SWPP","OK","ST","June",33226,4104,"AES Shady Point 2","STc200","South West","SPP","OK",1991-01-01,2027-12-01,160,160,10779,0,0.05,7,8,5,7.41,0,0.1,"AESSHAD_C",NA,119040,119040,0.27911626344086,119040
"27","10671","2","River Valley","SWPP","OK","ST","July",26162,4104,"AES Shady Point 2","STc200","South West","SPP","OK",1991-01-01,2027-12-01,160,160,10779,0,0.05,7,8,5,7.41,0,0.1,"AESSHAD_C",NA,119040,119040,0.219774865591398,119040
"28","10671","2","River Valley","SWPP","OK","ST","August",8671,4104,"AES Shady Point 2","STc200","South West","SPP","OK",1991-01-01,2027-12-01,160,160,10779,0,0.05,7,8,5,7.41,0,0.1,"AESSHAD_C",NA,119040,119040,0.072841061827957,119040
"29","10671","2","River Valley","SWPP","OK","ST","September",3240,4104,"AES Shady Point 2","STc200","South West","SPP","OK",1991-01-01,2027-12-01,160,160,10779,0,0.05,7,8,5,7.41,0,0.1,"AESSHAD_C",NA,119040,119040,0.0272177419354839,119040
"30","10671","2","River Valley","SWPP","OK","ST","October",10816,4104,"AES Shady Point 2","STc200","South West","SPP","OK",1991-01-01,2027-12-01,160,160,10779,0,0.05,7,8,5,7.41,0,0.1,"AESSHAD_C",NA,119040,119040,0.0908602150537634,119040
