bus_id,latitude,longitude
255104,41.20885561459296,-87.0578190323267
255130,41.20858390922963,-87.05811259014988
905002,42.97452861437671,-91.33866647085851
300480,38.740469027380904,-90.7221749141168
300879,36.0293951657443,-94.75917553570191
547574,37.07846425640661,-94.51108946438697
546661,39.0833468631256,-94.6194151922575
515241,36.00939665617228,-96.24218215139634
515242,36.009424453025524,-96.2417831183965
514733,36.30216089188938,-97.6660598150005
338658,34.155890251062395,-92.17972397337891
905434,43.536657350648404,-93.27297903829607
243290,41.65397788597579,-85.80238518223601
334454,30.258113253087835,-94.01166370783373
547691,37.24607555881281,-93.5712655953086
543043,38.841544852288706,-94.76908531777191
242733,37.3509210093184,-81.0596379472283
509754,36.458124496470745,-96.09373022981784
508542,32.51432357514592,-94.83885003634734
977035,44.279078866753075,-98.78320578245885
343004,38.7774298366117,-92.40680153047734
917006,38.7778296694281,-92.40678996678724
630025,41.94704174551156,-91.72609297930651
631094,41.94674857223284,-91.72582085905987
925148,35.5709028530251,-91.165172867489
977142,42.4856805284,-93.9352202994
699619,44.4398042635227,-87.5520268842308
300267,40.1078369366,-94.5321808476
527313,32.808324570282004,-102.8041705685914
344213,38.73171164097079,-90.25288753447279
699002,43.99035205720185,-90.543422777467
699239,43.990342144722746,-90.5438226546266
672554,53.63080347883351,-105.10240490600148
242735,37.8633055897944,-81.8497127042517
300563,38.238217404642896,-92.8718898909315
640013,42.14474262048476,-101.60411978343289
640238,42.14489866201603,-101.60375147508311
249866,38.5989864657812,-87.5397332360649
920192,44.37684708811974,-91.49549522083379
608674,47.012160822180604,-92.0485577496624
948017,47.440177422467926,-93.60425604624395
249870,40.7752772078914,-85.8024207969156
661004,46.3847625337411,-104.190721006933
335369,30.349464707266343,-92.76110320328203
925371,30.349860906182585,-92.76104819038568
242566,36.94221015381094,-81.69426138186735
242511,36.94179792043665,-81.69410534533236
242518,36.94149993082062,-81.69440857175617
982234,39.68698894377908,-93.55445443669743
620250,47.5783476987611,-96.2639088972884
509117,31.809555475037495,-94.18102666058216
947027,47.88719627663555,-98.54602617650376
539754,37.8123192520446,-99.67897797216648
652490,44.14193542926595,-103.27341490776558
977212,44.14208034842185,-103.2730420828224
925424,30.586532117105452,-91.33711695389715
335770,30.586363634813946,-91.33672707231855
335740,30.586025508284102,-91.33646408501757
335063,29.994985311795897,-93.3963496501187
636207,42.4750531340985,-92.54936288502779
524234,35.17581683689076,-101.92323276561058
301031,37.5889595338,-91.66444138950001
300900,35.74034325269518,-95.60031870057205
900061,37.5003433,-94.31726863
541395,38.92370415573973,-93.65915632919724
955150,35.067053167568645,-96.89445273756037
335447,30.412527500000003,-91.93594789
900037,37.49866061594621,-93.63318275013633
300101,37.49833587125412,-93.63288776047753
300782,37.49795417716957,-93.63268884731177
324135,37.59262750395958,-87.9535242374006
336526,31.2468128970482,-90.9172434255941
500680,31.20888552191685,-92.64871148434574
500690,31.209277206120152,-92.64863034566886
348927,41.157325554161815,-89.38265630330184
645458,40.6424931223225,-95.8488250615123
973007,34.729219064036364,-100.88415945849658
508802,32.596922483787196,-93.84544295840428
920059,43.171003094492484,-92.57790260212639
334240,30.496038899999995,-94.81820095
525153,34.64009618398017,-102.17683552502315
525154,34.63977580903683,-102.17659602576286
635017,40.5465029396364,-95.43435563661
334709,30.36777049002864,-94.07651779739366
657759,47.4912100458115,-97.83257665720659
906010,39.502389490714656,-90.4130143266088
973033,34.217093828643584,-103.02695498051685
525531,34.21632059652191,-103.02681284538826
525549,34.21695467239494,-103.02635086366493
973047,34.21769837104978,-103.02726035826618
525561,34.21675500232808,-103.02672271299235
525562,34.21573196984569,-103.02719661023545
905400,42.06747002955079,-93.66522250235323
349655,40.73920609634844,-89.84531129245778
530581,39.4514112603406,-99.8322907374622
957002,41.41787020467501,-96.57238605746517
647427,41.41802624620628,-96.57201774911539
249831,40.4919443951289,-86.8697031909306
300441,40.975409759,-91.93073055040001
300719,36.6483259649996,-93.2800053425309
647942,41.352179306630624,-96.10590236932615
636650,41.4967986040086,-90.34773994961489
944132,41.4970906849609,-90.34733000134916
636651,41.49627602058824,-90.34759678395126
636655,41.49631046084226,-90.3480332954847
514986,35.44991495096275,-97.38943237117773
955157,35.45002646668664,-97.38984174989419
955156,35.45006889909891,-97.38903631791095
699091,42.932361024364795,-88.8627852470671
301459,36.35256444844349,-94.44032098447224
242699,38.398912074421304,-83.31093294430215
272745,41.433667926762425,-88.22488301448651
301043,37.837011100000005,-92.74556922
324212,38.05673909887941,-85.62515142246826
324101,38.0571521193378,-85.62530283970081
324134,38.057116716028034,-85.62574129607559
